41,44,12,49,12,21,35,36,18,1,47,8,3,11,41,4,35,49,17,41,28,31,33,11,4,24,42,15,42,4,6,7,2,44,11,40,32,23,40,2,26,4,38,25,7,9,31,33,9,29,
16,1,33,3,46,1,45,37,17,1,32,29,32,2,40,31,18,14,36,22,17,19,23,13,38,15,34,27,40,3,20,1,9,21,8,4,13,44,6,4,40,24,20,39,7,43,18,11,40,24,
7,16,9,28,23,42,10,41,46,32,30,9,10,9,10,46,1,11,19,1,22,43,17,38,42,36,5,11,18,3,8,19,21,24,7,36,31,38,18,25,21,29,27,25,38,36,2,18,40,18,
49,9,22,19,13,31,35,12,26,42,22,35,1,43,12,17,44,4,27,14,43,39,32,40,10,40,8,7,13,29,30,12,33,46,12,38,12,36,28,12,8,5,37,42,44,2,39,8,9,39,
32,16,4,40,39,25,23,30,27,19,39,2,23,22,21,37,42,16,19,18,36,9,11,32,19,37,30,42,18,13,26,24,20,30,22,9,8,6,31,15,26,2,15,38,1,17,28,22,10,40,
6,45,14,45,26,20,15,41,21,9,18,5,13,15,18,26,13,4,24,15,36,1,40,7,40,31,8,20,10,30,6,17,7,1,17,14,1,37,13,11,43,12,27,20,41,14,38,26,8,36,
13,39,40,39,39,13,3,31,6,14,40,29,18,9,38,11,17,13,9,30,7,28,22,39,21,40,5,30,1,5,10,24,28,2,22,25,15,16,11,32,2,37,43,30,24,2,30,21,5,28,
31,25,35,2,32,44,42,38,29,28,37,11,15,8,18,25,34,14,21,5,36,35,39,23,13,28,23,23,14,21,13,16,31,42,2,33,25,15,10,12,14,33,20,38,4,17,39,13,40,10,
41,36,41,7,4,42,11,1,35,9,28,32,1,25,1,34,15,17,27,36,23,41,7,25,13,12,5,27,26,6,41,8,23,6,41,30,22,39,19,7,24,34,3,27,6,7,3,28,37,38,
31,32,42,37,21,14,33,31,19,5,2,29,14,26,34,24,19,9,9,10,8,15,33,20,24,18,12,3,39,24,6,22,22,9,11,13,25,27,32,30,12,24,6,26,22,4,30,38,27,36,
15,32,19,43,2,37,37,16,8,2,27,3,9,33,28,36,25,36,30,9,26,20,24,5,3,24,27,18,14,22,18,5,21,22,39,39,1,30,16,33,34,28,10,18,23,11,7,44,4,1,
6,12,5,25,18,19,11,30,20,36,36,12,18,3,13,9,7,30,17,4,28,3,3,17,26,31,17,33,32,25,1,38,23,23,38,31,30,26,25,23,21,13,17,31,3,10,6,7,16,29,
48,6,14,14,39,6,19,2,12,7,8,8,5,15,15,5,22,33,9,35,31,1,25,20,17,10,7,23,23,25,29,27,20,18,12,19,5,3,8,20,11,27,27,34,30,27,39,9,28,25,
49,17,37,3,29,9,13,25,38,9,16,17,4,27,26,22,28,20,4,19,17,32,9,9,14,36,8,15,18,12,25,30,6,28,27,33,17,31,36,7,5,4,3,19,24,7,31,38,12,20,
44,15,44,36,24,21,37,12,20,9,27,13,23,8,33,16,6,29,12,5,32,34,29,1,6,11,24,21,12,19,23,15,35,30,32,11,13,2,29,30,38,18,21,42,2,2,5,9,9,19,
15,13,25,45,16,24,19,37,11,35,20,5,7,6,7,4,21,13,31,11,31,5,11,17,16,10,32,33,7,15,24,14,14,10,20,34,6,27,25,4,4,23,24,27,23,20,12,40,8,21,
17,18,45,10,20,44,36,20,12,2,7,18,25,3,5,10,19,8,3,16,16,14,15,15,25,20,33,11,22,13,17,19,23,1,8,7,33,2,32,7,10,3,30,14,24,7,16,6,15,6,
42,47,31,14,5,1,15,14,6,8,15,9,12,10,35,6,8,14,1,28,3,3,7,3,9,22,12,11,30,25,13,19,30,18,17,22,28,12,26,5,30,21,9,30,5,42,28,46,28,14,
7,30,12,24,19,43,21,28,12,6,31,22,17,26,21,10,23,5,12,24,8,5,21,28,5,1,29,31,7,27,15,4,18,20,17,4,13,17,34,7,15,3,13,2,6,17,31,28,28,35,
42,1,11,19,36,25,17,23,30,28,20,18,1,14,21,3,12,27,5,3,23,12,2,13,17,10,11,17,22,12,25,19,13,7,33,31,17,9,9,14,11,12,1,38,7,33,39,28,10,17,
9,40,14,5,36,3,7,23,17,34,11,15,29,1,4,3,26,13,20,10,28,21,9,23,2,9,22,15,3,14,18,2,24,3,29,24,31,26,37,19,9,2,33,20,14,36,26,24,23,31,
2,35,23,18,29,38,9,30,12,13,12,32,23,6,28,2,20,7,24,29,14,16,3,28,5,18,7,7,24,1,2,26,16,11,15,10,8,16,18,38,6,38,5,27,11,12,19,36,27,26,
